Mã ngành,Tên ngành
7480104TN,Hệ thống thông tin
7480104VP,Hệ thống thông tin
7480201D114,Công nghệ thông tin
7480201D118,Công nghệ phần mềm
7480201D119,Kỹ thuật thuyền thông và mạng máy tính
7480201H114,Công nghệ thông tin (CLC)
7480103C,Kỹ thuật phần mềm (CLC)
7480201P,Công nghệ thông tin (POHE)
7480103_01,Công nghệ phần mềm
7480201NB,Công nghệ thông tin định hướng thị trường Nhật Bản
7480111,Tin học và kỹ thuật máy tính
7480110CLC,Máy tính và khoa học thông tin
7480110QTD,Máy tính và khoa học thông tin
7480101_CLCA,Khoa học máy tính (CLC)
7480102_CLCA,Mạng máy tính và truyền thông dữ liệu (CLC)
7480103_CLCA,Kỹ thuật phần mềm (CLC)
7480104_CLCA,Hệ thống thông tin (CLC)
7480104_TT,Hệ thống thông tin (tiên tiến)
7480106_CLCA,Kỹ thuật máy tính (CLC)
7480201_BT,Công nghệ thông tin
7480201_CLCN,Công nghệ thông tin (CLC định hướng Nhật Bản)
7480201_KHDL,Công nghệ thông tin (Khoa học dữ liệu)
7480202,An toàn thông tin
7480202_CLCA,An toàn thông tin (CLC)
7489001,Khoa học dữ liệu
7480201_CLC,Công nghệ thông tin (CLC)
7480201_TT,Công nghệ thông tin (tiên tiến)
7480201_VP,Công nghệ thông tin (liên kết Việt – Pháp)
7480201CLC,Công nghệ thông tin (CLC)
7480108,Công nghệ kỹ thuật máy tính
7480201B,Công nghệ thông tin
7480108A,Công nghệ kỹ thuật máy tính (CLC tiếng Anh)
7480108C,Công nghệ kỹ thuật máy tính (CLC tiếng Việt)
7480108D,Công nghệ kỹ thuật máy tính
7480201A,Công nghệ thông tin (CLC tiếng Anh)
7480201D,Công nghệ thông tin
7480203D,Kỹ thuật dữ liệu
7480102,Mạng máy tính và truyền thông dữ liệu
7480106,Kỹ thuật máy tính
7480201C,Công nghệ thông tin (CLC)
7480201H,Công nghệ thông tin (Hòa An)
7480103,Kỹ thuật phần mềm
7480104,Hệ thống thông tin
7480201,Công nghệ thông tin
7480101,Khoa học máy tính
